row,kernel,tag,psr_tag,psr,stats,scale,input,raw_sum,area_norm,level,input_sum,measured,expect_wt,expect_wt2,exposure,key,n_native,n_sup,n_stable,robust_wht,dom,n_eff_max,sci_eq,wht_eq,sup1_eq,sup2_eq,total_exptime,max_diff,n,sci_max,wht_max,png,stretch_params,display_mean,display_std,display_p99,flagged,frac,bg
causal,lanczos2,rotated,inv13,0.3333333333333333,"{""n"": 18424, ""min"": -655.2645874023438, ""max"": 460.9821472167969, ""p1"": -11.04955768585205, ""p5"": 0.0, ""p95"": 200.00003051757812, ""p99"": 210.97027587890625, ""neg_frac"": 0.02295918367346939, ""wht_at_min"": 0.007507403381168842, ""wht_at_max"": 0.0014147841138765216, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.19053819444444445}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rotated,none,,"{""n"": 7728, ""min"": -46.325225830078125, ""max"": 280.61968994140625, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0009057971014492754, ""wht_at_min"": 0.018765361979603767, ""wht_at_max"": 0.01293562725186348, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.07200038580246913}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rotated,diag3,3.0,"{""n"": 1775, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.6516664028167725, ""wht_at_max"": 0.582785964012146, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rot_trans,cur1,1.0,"{""n"": 7347, ""min"": -75.00605010986328, ""max"": 864.4400024414062, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0008166598611678236, ""wht_at_min"": 0.01000719703733921, ""wht_at_max"": 0.00037313695065677166, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.07889660493827161}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rot_trans,inv13,0.3333333333333333,"{""n"": 17572, ""min"": -74.828125, ""max"": 403.1879577636719, ""p1"": -10.00700569152832, ""p5"": 0.0, ""p95"": 200.00003051757812, ""p99"": 210.3756561279297, ""neg_frac"": 0.021568404279535623, ""wht_at_min"": 0.16605550050735474, ""wht_at_max"": 0.00237916293554008, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.20650077160493827}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rot_trans,none,,"{""n"": 7347, ""min"": -75.00605010986328, ""max"": 864.4400024414062, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0008166598611678236, ""wht_at_min"": 0.01000719703733921, ""wht_at_max"": 0.00037313695065677166, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.07889660493827161}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rot_trans,diag3,3.0,"{""n"": 1700, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.017435001209378242, ""wht_at_max"": 0.582785964012146, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,translated,cur1,1.0,"{""n"": 15093, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 2.1355087653773808e-07, ""wht_at_max"": 4.260773778241855e-08, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,translated,inv13,0.3333333333333333,"{""n"": 16097, ""min"": -22.991626739501953, ""max"": 222.99163818359375, ""p1"": -16.10102081298828, ""p5"": 0.0, ""p95"": 200.00006103515625, ""p99"": 216.10101318359375, ""neg_frac"": 0.016524818289122195, ""wht_at_min"": 0.9820713400840759, ""wht_at_max"": 0.9636856913566589, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.12201003086419752}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,translated,none,,"{""n"": 15093, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 2.1355087653773808e-07, ""wht_at_max"": 4.260773778241855e-08, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,translated,diag3,3.0,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,rotated,cur1,1.0,"{""n"": 8098, ""min"": -1109.1407470703125, ""max"": 7795.564453125, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.0000762939453, ""neg_frac"": 0.007409236848604593, ""wht_at_min"": 0.0016326969489455223, ""wht_at_max"": 0.0006528581725433469, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.13290895061728394}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,rotated,inv13,0.3333333333333333,"{""n"": 18864, ""min"": -2902.30615234375, ""max"": 637.7290649414062, ""p1"": -20.17828941345215, ""p5"": 0.0, ""p95"": 200.0000457763672, ""p99"": 219.32838439941406, ""neg_frac"": 0.032495759117896525, ""wht_at_min"": 0.00016728765331208706, ""wht_at_max"": 0.0019422901095822453, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.22202932098765432}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,rotated,none,,"{""n"": 8098, ""min"": -1109.1407470703125, ""max"": 7795.564453125, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.0000762939453, ""neg_frac"": 0.007409236848604593, ""wht_at_min"": 0.0016326969489455223, ""wht_at_max"": 0.0006528581725433469, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.13290895061728394}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,rotated,diag3,3.0,"{""n"": 4397, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.6822738647460938, ""wht_at_max"": 0.000590384064707905, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos3,rot_trans,cur1,1.0,"{""n"": 7719, ""min"": -2384.91455078125, ""max"": 388.731201171875, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.0000762939453, ""neg_frac"": 0.006995724834823164, ""wht_at_min"": 0.0009375388617627323, ""wht_at_max"": 0.017733324319124222, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.14327739197530864}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
