row,kernel,scale,psr_tag,input,coverage,support_radius_out,support_radius_input,centroid_x,centroid_y,footprint,dom,floors,robust_floor,extreme_max,extreme_p99,extreme_n,measured,expect_sigma_rt_over_t,expect,sci_eq,wht_eq,sup1_eq,sup2_eq,sup1_img_eq,max_diff,total_exptime,sci_max,note,png,sha256,flagged,frac,bg
footprint,lanczos3,2,none,impulse,1.0,134.3429228571656,67.1714614285828,0.005208243270924316,0.00520824328302475,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,none,star,1.0,134.3429228571656,67.1714614285828,0.005208243270924316,0.00520824328302475,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,wrong_s,impulse,1.0,134.3429227627418,67.1714613813709,0.005208310044668689,0.00520831004466869,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,wrong_s,star,1.0,134.3429227627418,67.1714613813709,0.005208310044668689,0.00520831004466869,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,cur1,impulse,1.0,202.22759496021695,67.40919832007232,0.0034962605841101207,0.0034962605841101207,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,cur1,star,1.0,202.22759496021695,67.40919832007232,0.0034962605841101207,0.0034962605841101207,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,one_over_s,impulse,1.0,202.22762897329685,67.40920965776562,0.0034722097046119013,0.003472209704697297,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,one_over_s,star,1.0,202.22762897329685,67.40920965776562,0.0034722097046119013,0.003472209704697297,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,none,impulse,1.0,202.22759496021695,67.40919832007232,0.0034962605841101207,0.0034962605841101207,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,none,star,1.0,202.22759496021695,67.40919832007232,0.0034962605841101207,0.0034962605841101207,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,wrong_s,impulse,0.1111111111111111,202.18803834154355,67.39601278051451,0.03146701388888889,0.03146701388888889,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,3,wrong_s,star,0.1111111111111111,202.18803834154355,67.39601278051451,0.03146701388888889,0.03146701388888889,,,,,,,,,,,,,,,,,,,,,,,,
