key,kernel,scale,input,weighting,n_frames,pixel_scale_ratio,iscale,exptime,pixfrac,positive_support_fraction,sci_on_support_mean,sci_on_support_neg_fraction,sci_on_support_extreme_p99_abs,sci_min,sci_max,sci_mean,sci_median,sci_p1,sci_p5,sci_p95,sci_p99,sci_negative_fraction,sci_positive_fraction,sci_zero_fraction,sci_nonfinite_fraction,wht_min,wht_max,wht_mean,wht_median,wht_p1,wht_p5,wht_p95,wht_p99,wht_negative_fraction,wht_positive_fraction,wht_zero_fraction,wht_nonfinite_fraction
point_s3_B,point,3,B,off,1,,1.0,1.0,1.0,0.1111111111111111,3.9269027709960938,0.484375,62.176727294921875,-0.03548805043101311,999.9915161132812,0.4363225449730364,0.0,-0.01334440908394754,-0.0009144367650151253,0.0018031767394859344,0.016819573659449832,0.05381944444444445,0.057291666666666664,0.8888888888888888,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0
point_s4_A,point,4,A,off,1,,1.0,1.0,1.0,0.0625,99.99754333496094,0.0,100.11109924316406,0.0,100.15330505371094,6.24984628893435,0.0,0.0,0.0,99.95749893188477,100.04590133666993,0.0,0.0625,0.9375,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,1.0,1.0,0.0,0.0625,0.9375,0.0
point_s4_B,point,4,B,off,1,,1.0,1.0,1.0,0.0625,3.9269027709960938,0.484375,62.176727294921875,-0.03548805043101311,999.9915161132812,0.245431431547333,0.0,-0.010157841006293893,0.0,0.0,0.011731512788683214,0.0302734375,0.0322265625,0.9375,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,1.0,1.0,0.0,0.0625,0.9375,0.0
turbo_s1_A,turbo,1,A,off,1,,1.0,1.0,1.0,1.0,99.99725341796875,0.0,100.05548858642578,99.9104232788086,100.07611846923828,99.99725300073624,99.9976806640625,99.93641189575196,99.95519371032715,100.03623275756836,100.05548759460449,0.0,1.0,0.0,0.0,0.25,1.0,0.968994140625,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0
turbo_s1_B,turbo,1,B,off,1,,1.0,1.0,1.0,1.0,3.9268693923950195,0.4822048611111111,123.48429870605469,-0.02300087921321392,728.167724609375,3.926868927948612,0.000270580843789503,-0.012773137874901294,-0.008598822448402644,0.016150711290538307,123.48429939268918,0.4822048611111111,0.5177951388888888,0.0,0.0,0.25,1.0,0.9792751736111112,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0
turbo_s2_A,turbo,2,A,off,1,,1.0,1.0,1.0,0.25,99.99754333496094,0.0,100.11109924316406,0.0,100.15330505371094,24.9993851557374,0.0,0.0,0.0,100.03849029541016,100.08247146606445,0.0,0.25,0.75,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.0
turbo_s2_B,turbo,2,B,off,1,,1.0,1.0,1.0,0.25,3.9269027709960938,0.484375,62.176727294921875,-0.03548805043101311,999.9915161132812,0.981725726189332,0.0,-0.017213739175349473,-0.00857234071008861,0.009505168767645955,0.04842501357197856,0.12109375,0.12890625,0.75,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.0
turbo_s3_A,turbo,3,A,off,1,,1.0,1.0,1.0,0.4444444444444444,99.99754333496094,0.0,100.11136627197266,0.0,100.15330505371094,44.4433513879776,0.0,0.0,0.0,100.05805206298828,100.09396362304688,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.0,0.25,0.25,0.0,0.4444444444444444,0.5555555555555556,0.0
turbo_s3_B,turbo,3,B,off,1,,1.0,1.0,1.0,0.4444444444444444,3.9269027709960938,0.484375,62.17692565917969,-0.03548805043101311,999.9915161132812,1.7452901798921456,0.0,-0.0197102596051991,-0.01216717716306448,0.014416588470339775,2.737555742263798,0.2152777777777778,0.22916666666666666,0.5555555555555556,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.0,0.25,0.25,0.0,0.4444444444444444,0.5555555555555556,0.0
turbo_s4_A,turbo,4,A,off,1,,1.0,1.0,1.0,0.0625,99.99754333496094,0.0,100.11109924316406,0.0,100.15330505371094,6.24984628893435,0.0,0.0,0.0,99.95749893188477,100.04590133666993,0.0,0.0625,0.9375,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,1.0,1.0,0.0,0.0625,0.9375,0.0
